epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24.6337,0.33353,0.58539,0.92849,0.00719,1,0.995,0.90675,0.48647,2.36695,0.98901,0.0583618,0.000361788,0.000361788
44,25.0282,0.36617,0.5822,0.92208,0.00719,1,0.995,0.90675,0.48647,2.36695,0.98901,0.057369,0.000368983,0.000368983
45,25.4926,0.34226,0.5642,0.90709,0.00713,1,0.995,0.8955,0.41842,2.07172,0.95899,0.0563761,0.000376112,0.000376112
46,25.9984,0.31782,0.52247,0.88548,0.00713,1,0.995,0.8955,0.41842,2.07172,0.95899,0.0553832,0.000383175,0.000383175
47,26.4389,0.30903,0.52223,0.86016,0.82599,1,0.995,0.92908,0.37593,1.91289,0.92267,0.0543902,0.000390172,0.000390172
48,26.8387,0.38285,0.55028,0.91463,0.82599,1,0.995,0.92908,0.37593,1.91289,0.92267,0.0533971,0.000397103,0.000397103
49,27.3194,0.30374,0.45967,0.90247,0.95638,1,0.995,0.96208,0.36439,1.60749,0.9124,0.052404,0.000403968,0.000403968
50,27.7241,0.35753,0.51788,0.93196,0.95638,1,0.995,0.96208,0.36439,1.60749,0.9124,0.0514108,0.000410767,0.000410767
51,28.2554,0.3472,0.54428,0.90956,0.95412,1,0.995,0.91233,0.38744,1.28322,0.91917,0.0504175,0.0004175,0.0004175
52,28.6325,0.33534,0.53658,0.93162,0.95412,1,0.995,0.91233,0.38744,1.28322,0.91917,0.0494242,0.000424167,0.000424167
53,29.0367,0.3519,0.52718,0.89441,0.95412,1,0.995,0.91233,0.38744,1.28322,0.91917,0.0484308,0.000430768,0.000430768
54,29.4606,0.34333,0.50315,0.91055,0.96633,1,0.995,0.96209,0.40109,1.0851,0.93395,0.0474373,0.000437303,0.000437303
55,29.8916,0.35621,0.47129,0.89668,0.96633,1,0.995,0.96209,0.40109,1.0851,0.93395,0.0464438,0.000443772,0.000443772
56,30.3067,0.31822,0.48019,0.87062,0.96633,1,0.995,0.96209,0.40109,1.0851,0.93395,0.0454502,0.000450175,0.000450175
57,30.8191,0.35907,0.62576,0.88268,0.96934,1,0.995,0.96209,0.39305,1.00667,0.95507,0.0444565,0.000456512,0.000456512
58,31.2559,0.28928,0.49523,0.89146,0.96934,1,0.995,0.96209,0.39305,1.00667,0.95507,0.0434628,0.000462783,0.000462783
59,31.6738,0.27836,0.47342,0.90668,0.96934,1,0.995,0.96209,0.39305,1.00667,0.95507,0.042469,0.000468988,0.000468988
60,32.0914,0.27866,0.43445,0.88858,0.97282,1,0.995,0.96209,0.41992,0.90251,1.06022,0.0414751,0.000475127,0.000475127
61,32.5247,0.34617,0.4815,0.91386,0.97282,1,0.995,0.96209,0.41992,0.90251,1.06022,0.0404812,0.0004812,0.0004812
62,32.9767,0.29965,0.4499,0.88334,0.97282,1,0.995,0.96209,0.41992,0.90251,1.06022,0.0394872,0.000487207,0.000487207
63,33.4668,0.26466,0.46267,0.83523,0.97301,1,0.995,0.8955,0.43993,0.89748,1.07484,0.0384931,0.000493148,0.000493148
64,33.8902,0.29946,0.45728,0.9012,0.97301,1,0.995,0.8955,0.43993,0.89748,1.07484,0.037499,0.000499023,0.000499023
65,34.2785,0.3048,0.45537,0.91058,0.97301,1,0.995,0.8955,0.43993,0.89748,1.07484,0.0365048,0.000504832,0.000504832
66,34.7099,0.30191,0.52181,0.94744,0.97782,1,0.995,0.8955,0.41368,0.79863,1.00266,0.0355106,0.000510575,0.000510575
67,35.1179,0.31412,0.43661,0.89799,0.97782,1,0.995,0.8955,0.41368,0.79863,1.00266,0.0345163,0.000516252,0.000516252
68,35.5233,0.38574,0.5096,0.86949,0.97782,1,0.995,0.8955,0.41368,0.79863,1.00266,0.0335219,0.000521863,0.000521863
69,36.0168,0.34964,0.50031,0.90781,0.91172,1,0.995,0.8955,0.41411,0.72459,0.92046,0.0325274,0.000527408,0.000527408
70,36.4151,0.37457,0.49705,0.89574,0.91172,1,0.995,0.8955,0.41411,0.72459,0.92046,0.0315329,0.000532887,0.000532887
71,36.8096,0.29362,0.41472,0.86483,0.91172,1,0.995,0.8955,0.41411,0.72459,0.92046,0.0305383,0.0005383,0.0005383
72,37.2495,0.29623,0.45732,0.87801,0.98008,1,0.995,0.72137,0.50919,1.10502,0.91466,0.0295436,0.000543647,0.000543647
73,37.6683,0.34894,0.41882,0.88399,0.98008,1,0.995,0.72137,0.50919,1.10502,0.91466,0.0285489,0.000548928,0.000548928
74,38.0864,0.35644,0.46327,0.90774,0.98008,1,0.995,0.72137,0.50919,1.10502,0.91466,0.0275541,0.000554143,0.000554143
75,38.6173,0.29586,0.40988,0.89471,0.98032,1,0.995,0.53455,1.09274,1.72566,1.3789,0.0265593,0.000559292,0.000559292
76,39.0104,0.3393,0.44969,0.90678,0.98032,1,0.995,0.53455,1.09274,1.72566,1.3789,0.0255644,0.000564375,0.000564375
77,39.4218,0.32024,0.40382,0.89505,0.98032,1,0.995,0.53455,1.09274,1.72566,1.3789,0.0245694,0.000569392,0.000569392
78,39.8557,0.28991,0.41759,0.89919,0.97995,1,0.995,0.43654,1.53292,1.52706,1.72517,0.0235743,0.000574343,0.000574343
79,40.2666,0.27733,0.41175,0.94664,0.97995,1,0.995,0.43654,1.53292,1.52706,1.72517,0.0225792,0.000579228,0.000579228
80,40.7086,0.29566,0.45284,0.91294,0.97995,1,0.995,0.43654,1.53292,1.52706,1.72517,0.021584,0.000584047,0.000584047
81,41.1959,0.32026,0.47169,0.85459,0.98071,1,0.995,0.83024,0.44852,0.93843,0.92429,0.0205888,0.0005888,0.0005888
82,41.5869,0.31572,0.43476,0.86356,0.98071,1,0.995,0.83024,0.44852,0.93843,0.92429,0.0195935,0.000593487,0.000593487
83,42.032,0.30569,0.40214,0.90669,0.98071,1,0.995,0.83024,0.44852,0.93843,0.92429,0.0185981,0.000598108,0.000598108
84,42.4763,0.27612,0.40586,0.9228,0.98226,1,0.995,0.995,0.24658,0.64926,0.85567,0.0176027,0.000602663,0.000602663
85,42.8678,0.25175,0.38338,0.86405,0.98226,1,0.995,0.995,0.24658,0.64926,0.85567,0.0166072,0.000607152,0.000607152
86,43.2869,0.3589,0.4227,0.90682,0.98226,1,0.995,0.995,0.24658,0.64926,0.85567,0.0156116,0.000611575,0.000611575
87,43.77,0.27029,0.4076,0.89191,0.98226,1,0.995,0.995,0.24658,0.64926,0.85567,0.0146159,0.000615932,0.000615932
88,44.1938,0.26313,0.40405,0.90126,0.98355,1,0.995,0.995,0.28136,0.53644,0.86614,0.0136202,0.000620223,0.000620223
89,44.626,0.31412,0.39612,0.91277,0.98355,1,0.995,0.995,0.28136,0.53644,0.86614,0.0126244,0.000624448,0.000624448
90,45.0549,0.31,0.39872,0.90052,0.98355,1,0.995,0.995,0.28136,0.53644,0.86614,0.0116286,0.000628607,0.000628607
91,45.5051,0.33745,0.4126,0.91748,0.98355,1,0.995,0.995,0.28136,0.53644,0.86614,0.0106327,0.0006327,0.0006327
92,45.9496,0.27555,0.40939,0.88102,0.98528,1,0.995,0.96208,0.35696,0.49945,0.90641,0.00963673,0.000636727,0.000636727
93,46.6015,0.32758,0.40485,0.88729,0.98528,1,0.995,0.96208,0.35696,0.49945,0.90641,0.00864069,0.000640688,0.000640688
94,47.1394,0.32841,0.39108,0.91326,0.98528,1,0.995,0.96208,0.35696,0.49945,0.90641,0.00764458,0.000644583,0.000644583
95,47.6379,0.3616,0.43171,0.88319,0.98528,1,0.995,0.96208,0.35696,0.49945,0.90641,0.00664841,0.000648412,0.000648412
96,48.1726,0.3388,0.40231,0.88578,0.98538,1,0.995,0.96207,0.36206,0.50781,0.90547,0.00565218,0.000652175,0.000652175
97,48.6233,0.29705,0.36472,0.88981,0.98538,1,0.995,0.96207,0.36206,0.50781,0.90547,0.00465587,0.000655872,0.000655872
98,49.2322,0.34245,0.39824,0.90423,0.98538,1,0.995,0.96207,0.36206,0.50781,0.90547,0.0036595,0.000659503,0.000659503
99,49.7434,0.3413,0.39144,0.90801,0.98538,1,0.995,0.96207,0.36206,0.50781,0.90547,0.00266307,0.000663068,0.000663068
